Year,Diatom_N,PicoPhytopl_N,Gelat_Zoo_N,Carniv_Zoo_N,Zoo_N,MicroZoo_N,Cephalopod_N2,Prawn_N1,Prawn_N2,Pelag_Bact_N,Sed_Bact_N,Deposit_Feeder_N,Planktiv_O_Fish_N,Demersal_P_Fish_N,Demersal_M_Fish_N,Shark_C_N,Pisciv_V_Fish_N,Whale_Small_N,NH3,NO3,Chl_a,Carrion_N,NA,NA,Macrobenth_Shallow_N,Macrobenth_Deep_N,Megazoobenthos_N,Benthic_Carniv_N,NA,NA,Macroalgae_N,Seagrass_N,Filter_Shallow_N,Filter_Deep_N,Filter_Other_N,Benthic_grazer_N,Pisciv_D_Fish_N,Pisciv_S_Fish_N,Mesopel_M_Fish_N,Mesopel_N_Fish_N,Demersal_F_Fish_N,Demersal_D_Fish_N,Planktiv_S_Fish_N,Planktiv_L_Fish_N,Pisciv_T_Fish_N,Pisciv_B_Fish_N,Benthopel_Fish_N,Demersal_E_Fish_N,Shark_B_N,Shark_D_N,Shark_P_N,Pisciv_O_Fish_N,Seabird_N,Penguin_N,Demersal_S_Fish_N,Demersal_B_Fish_N,Demersal_DC_Fish_N,Demersal_O_Fish_N,Shark_R_N,SkateRay_N,Pinniped_N,Whale_Baleen_N,Whale_Tooth_N,Reptile_N,Dugong_N,NA
1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59089,NA,NA,45426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230424,NA,NA,NA,NA,NA,NA,NA,NA
1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58815,NA,NA,45279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230407,NA,NA,NA,NA,NA,NA,NA,NA
1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58487,NA,NA,45113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230388,NA,NA,NA,NA,NA,NA,NA,NA
1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58092,NA,NA,44931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230368,NA,NA,NA,NA,NA,NA,NA,NA
1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57618,NA,NA,44735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230346,NA,NA,NA,NA,NA,NA,NA,NA
1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57050,NA,NA,44525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230324,NA,91855,NA,NA,NA,NA,NA,NA
1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93807,56366,NA,NA,44303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,640803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230299,NA,91855,NA,NA,NA,NA,NA,NA
1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93307,54573,NA,NA,43960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,640744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230274,NA,91837,NA,NA,NA,NA,NA,NA
1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92567,52162,NA,NA,43506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,640578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230247,NA,91803,NA,NA,NA,NA,NA,NA
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91817,50758,NA,NA,42950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,640379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230218,NA,91755,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91360,50154,NA,NA,42758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,640179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230187,NA,91693,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90903,50303,NA,NA,42560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,640017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230156,NA,91619,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90546,50022,NA,NA,42474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,639762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230123,NA,91535,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90244,48918,NA,NA,42445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,639316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230089,7496.32,91440,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89880,47921,NA,NA,42330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,638813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230053,7496.32,91335,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89560,46262,NA,NA,42260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,638103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230016,7496.32,91221,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89180,44904,NA,NA,42115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,637340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229978,7485.52,91098,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88624,43858,NA,NA,41757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,636621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229939,7474.84,90967,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88190,42234,NA,NA,41555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,635753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258424,7464.27,90826,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87758,41266,NA,NA,41386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99930.3,NA,NA,NA,634947,NA,NA,526869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258381,7453.83,90678,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87367,39827,NA,NA,41306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99924.8,NA,NA,NA,633862,NA,NA,523253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258336,7443.53,90521,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86879,39449,NA,NA,41081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99923.3,NA,NA,NA,632913,NA,NA,496674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258288,7433.37,90356,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86403,40611,NA,NA,40867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99921.9,NA,NA,NA,632159,NA,NA,462092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258242,7423.37,90183,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86096,40179,NA,NA,40834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99910.2,NA,NA,NA,631406,NA,NA,411755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258196,7413.51,90003,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85870,39851,NA,NA,40885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99903.5,NA,NA,NA,630583,NA,NA,362570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258138,7403.82,89815,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85661,39896,NA,NA,40965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99899.9,NA,NA,NA,629539,NA,NA,293477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258079,7394.29,89619,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85430,39510,NA,NA,40999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99891.7,NA,NA,NA,628256,NA,NA,229665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258022,7384.91,89417,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85211,38907,NA,NA,41017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99861,NA,NA,NA,626785,NA,NA,203325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257962,7375.7,89207,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85018,38504,NA,NA,41076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99719.4,NA,NA,NA,624954,NA,NA,189031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257910,7366.65,88992,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84884,38661,NA,NA,41262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99721.9,NA,NA,NA,623146,NA,NA,218359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257847,7357.76,88770,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84778,38629,NA,NA,41502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99288.1,NA,NA,NA,620526,NA,NA,187333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257768,7349.03,88541,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84587,38937,NA,NA,41658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98687.4,NA,NA,NA,617463,NA,NA,154965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257672,7340.46,88307,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84345,40107,NA,NA,41822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97914.1,NA,NA,NA,614084,NA,NA,166163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257532,7332.04,88068,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84162,42115,NA,NA,42206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97613.5,NA,NA,NA,608748,NA,NA,164104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257375,7323.78,87823,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83185,43047,NA,NA,42511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96063.1,NA,NA,NA,600822,NA,NA,142878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256989,7315.68,87573,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81563,44631,NA,NA,42725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95882.9,NA,NA,NA,596086,NA,NA,123853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256402,27817.72,87318,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77924,45829,NA,NA,42715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96043.6,NA,NA,NA,590516,NA,NA,111816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255574,27814.91,87058,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75773,43292,NA,NA,42754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96183.4,NA,NA,NA,583043,NA,NA,91594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255156,27780.24,86794,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74622,41396,NA,NA,42822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96087.7,NA,NA,NA,576375,NA,NA,107848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255039,27713.72,86525,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73787,36372,NA,NA,42883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95505.6,NA,NA,NA,565588,NA,NA,102548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254726,27620.33,86251,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72942,33833,12831,NA,42920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94727.2,NA,NA,508385,554491,NA,NA,85041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325675.7,NA,275949,27500.09,85973,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71754,30214,12831,NA,42758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94942.4,NA,NA,499822,539404,NA,NA,70221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321621.6,NA,275612,27356.98,85982,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70586,29185,13007,NA,42330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95035.2,NA,NA,490788,524025,NA,NA,65964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305405.4,NA,275013,27191,86070,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69472,29179,13248,NA,41761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95096.2,NA,NA,483469,507471,NA,NA,71539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283783.8,NA,274668,27005.15,86105,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68527,30111,13265,NA,41096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94244.1,91327.85,NA,477025,495194,NA,NA,139193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256756.7,NA,274478,26801.42,85562,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67391,31582,13194,NA,40479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94650.7,88081.83,NA,470572,482090,NA,NA,121243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236486.5,NA,274204,26579.82,85589,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66206,33322,13040,75583.9,39756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94806,88098.95,NA,464353,469585,NA,NA,129524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210810.8,NA,273939,26310.65,85043,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64944,33447,12506,80546.2,38842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90252.5,86976.76,NA,456235,457350,NA,NA,108311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190540.5,NA,272744,26010.38,85022,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63093,34496,11756,80742.3,37961,230505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87253.2,85492.42,NA,448371,445609,NA,NA,92823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174324.3,NA,272197,25702.77,85048,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61199,35760,10889,84224.2,36963,231687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84955.6,83964.61,NA,441230,436300,NA,NA,112172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158108.1,NA,271661,25391.06,85050,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59479,35808,10135,86385.6,36325,233164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82558.1,81930.43,NA,433361,427737,NA,NA,108005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144594.6,NA,271005,25126.61,84918,NA,NA,NA,NA,NA,NA
